OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,OPERATIONALSTATUS,CAPACITYKV,STATE,SPATIALCONFIDENCE,REVISED,LENGTH_M,SHAPE_Length,From,To,from_suburb,to_suburb
1660,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,88,Tasmania,5,10/07/2012 0:00,25058.49747,0.287770894,Scottsdale Tee,Derby,scottsdale,derby
1662,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,South Australia,5,1/08/2013 0:00,40162.16643,0.385143585,Morphett Vale East,Port Noarlunga,morphett vale,port noarlunga
1663,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,South Australia,5,1/08/2013 0:00,24027.96969,0.22594066,Mount Barker,Strathalbyn,mount barker,strathalbyn
1664,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,275,South Australia,5,1/08/2013 0:00,19825.57702,0.213102361,Mount Barker South,Cherry Gardens,mount barker,cherry gardens
1666,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,South Australia,5,1/08/2013 0:00,9870.779018,0.091670326,Mount Barker,Balhannah,mount barker,balhannah
1667,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,South Australia,5,1/08/2013 0:00,13780.59904,0.134545968,Mount Barker,Meadows,mount barker,meadows
1669,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,2,1/08/2013 0:00,7384.822696,0.077763807,Guildford,Camellia,guildford,camellia
1671,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,3,10/07/2012 0:00,81857.72903,0.83671804,Parkes,Manildra,parkes,manildra
1672,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,3/09/2013 0:00,27045.21551,0.258483297,Cadia,Orange North,cadia,orange
1673,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,3/09/2013 0:00,27840.74373,0.265981856,Cadia,Orange North (East),cadia,orange
1674,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,5/09/2013 0:00,80287.16252,0.743245274,Tenterfield,Glen Innes,tenterfield,glen innes
1675,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,3,10/07/2012 0:00,52890.68571,0.497237062,Narrabri,Moree,narrabri,moree
1676,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,500,New South Wales,3,10/07/2012 0:00,636.811672,0.005907332,"Bannaby ",Bannaby  (East),bannaby,bannaby
1677,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,500,New South Wales,3,10/07/2012 0:00,640.656869,0.005956701,"Bannaby ","Bannaby ",bannaby,bannaby
1678,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,500,New South Wales,5,10/07/2012 0:00,112999.7257,1.152541301,Wollar,Bayswater,wollar,bayswater
1682,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,500,Victoria,3,10/07/2012 0:00,94539.8668,1.062097489,Mortlake,Heywood Terminal,mortlake,heywood
1684,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,Western Australia,5,10/07/2012 0:00,22162.20531,0.217677785,Mungarra,Three Springs,ungarra,three springs
1688,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,South Australia,5,10/07/2012 0:00,7796.518162,0.076431133,Hallet  Wind Farm,Hallet Power Station (South),hall,hall
1692,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,275,South Australia,3,13/06/2014 0:00,28367.88656,0.301649384,"Snowtown Wind Farm Stage ",Blythe West,snowtown,blyth
1693,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,275,South Australia,4,10/07/2012 0:00,83917.03422,0.786939721,Para,Bungama (North),para,bungama
1694,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,275,South Australia,4,10/07/2012 0:00,141.208071,0.001517712,Blyth West,Para to Bungama Tee,blyth,bungama
1695,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,275,South Australia,3,13/06/2014 0:00,14.364163,0.000132268,"Snowtown Wind Farm Stage ",Snowtown Wind Farm Stage  Substation,snowtown,snowtown
1696,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,South Australia,4,10/07/2012 0:00,4655.095434,0.048063686,Waterloo,Waterloo East,waterloo,waterloo
1697,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,220,Western Australia,5,22/09/2013 0:00,49879.27571,0.471804995,Cape Lambert Power Station,Yurralyi Maya Substation,amber,maya
1698,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,33,Western Australia,5,27/06/2014 0:00,5133.013105,0.047393759,Cape Lambert Power Station,Cape Lambert Loader (East),amber,amber
1699,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,33,Western Australia,5,27/06/2014 0:00,4998.638342,0.046119044,Cape Lambert Power Station,Cape Lambert Loader,amber,amber
1701,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,220,Victoria,5,2/03/2016 0:00,20493.95916,0.196157807,Elaine,Ballarat Terminal,elaine,ballarat
1702,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,South Australia,5,2/03/2016 0:00,10128.36586,0.094087295,Whyalla Terminal,Cultana,whyalla,cultana
1703,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,South Australia,5,2/03/2016 0:00,71.805199,0.00069409,Middleback Tee,Middleback Tee,eba,eba
1706,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,2896.894698,0.031287392,Lane Cove,Top Ryde,lane cove,ryde
1708,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,2/03/2016 0:00,9034.054422,0.086750858,Morisset,"Eraring ",morisset,eraring
1709,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,2/03/2016 0:00,12477.66868,0.114795154,Rathmines,Newcastle,rathmines,newcastle
1710,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,2/03/2016 0:00,6958.97899,0.06956297,Eraring  Tee,Rathmines,eraring,rathmines
1712,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,1814.731273,0.017425796,Waverley,Rose Bay,waverley,rose bay
1713,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,5467.024941,0.05908074,Campbell,Rose Bay,campbell,rose bay
1714,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,2823.521476,0.025466214,Clovelly,Double Bay,clovelly,double bay
1715,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,3310.837402,0.035030802,Hurstville North,Peakhurst,hurstville,peakhurst
1716,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,3988.819632,0.036223808,Quakers Hill,Doonside,quakers hill,doonside
1717,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,2713.303513,0.024798336,Doonside,Huntingwood,doonside,huntingwood
1718,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,5242.39061,0.056364265,Huntingwood,Blacktown,huntingwood,blacktown
1719,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,3552.376012,0.037535131,Blacktown,Arndell Park,blacktown,arndell park
1720,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,3207.34327,0.034663076,Surry Hills,Double Bay,surry hills,double bay
1721,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,3205.255521,0.034562531,Campbell,Double Bay,campbell,double bay
1722,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,3291.633144,0.034523459,Hurstville North,Kogarah,hurstville,kogarah
1723,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,5086.587001,0.054424905,Waverley,Belmore Park,waverley,belmore
1724,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,522.228675,0.005365417,Surry Hills,Belmore Park,surry hills,belmore
1725,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,507.531847,0.005380202,Haymarket,Belmore Park,haymarket,belmore
1726,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,4416.298338,0.047331662,Canterbury,Marrickville,canterbury,marrickville
1727,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,3,2/03/2016 0:00,187.40571,0.001838613,Beaconsfield South,Beaconsfield North,beaconsfield,beaconsfield
1729,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,3884.562847,0.035904747,Haymarket,Beaconsfield North,haymarket,beaconsfield
1730,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,291.731914,0.002634584,Surry Hills,Campbell,surry hills,campbell
1731,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,2289.740689,0.02464044,Marrickville,Beaconsfield South,marrickville,beaconsfield
1732,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,5264.746554,0.055234058,Granville,Guilford,granville,ilford
1733,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,1051.967773,0.011288418,West Parramatta,East Parramatta,parramatta,parramatta
1734,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,998.428428,0.009022016,North Parramatta,East Parramatta,north parramatta,parramatta
1735,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,2169.416584,0.022538483,East Parramatta,Camellia,parramatta,camellia
1736,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,6159.519988,0.062608254,East Parramatta,Guildford,parramatta,guildford
1737,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,5540.999884,0.054908389,West Parramatta,Guildford,parramatta,guildford
1738,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,330,New South Wales,1,2/03/2016 0:00,12743.69703,0.131998778,Rookwood,Holroyd,rookwood,holroyd
1739,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,3973.475841,0.041632147,Guildford,Holroyd,guildford,holroyd
1740,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,7268.170436,0.076834867,Guilford,Camellia,ilford,camellia
1742,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,3611.618283,0.03257045,Greenacre Park,Bankstown,greenacre,bankstown
1743,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,1805.906104,0.016301201,Greenacre Park,Potts Hill,greenacre,potts hill
1744,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,2195.070283,0.023724304,Sefton,Potts Hill,sefton,potts hill
1745,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,4754.136162,0.042878955,Rookwood Rd,Bankstown,rookwood,bankstown
1746,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,817.571667,0.007911879,Rookwood Rd,Potts Hill,rookwood,potts hill
1747,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,5226.308061,0.049321939,Bankstown,Sydney South,bankstown,sydney south
1749,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,8276.6153,0.087725937,Sydney West,Wetherill Park (Underground),sydney,wetherill park
1751,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,5,17/03/2020 0:00,4713.797343,0.0464348,Rockdale,New Canterbury,rockdale,canterbury
1752,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Underground,Operational,132,New South Wales,1,2/03/2016 0:00,7000.458693,0.065937489,Kogarah,Marrickville,kogarah,marrickville
1754,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,1,2/03/2016 0:00,4948.613614,0.051864003,Dubbo,Dubbo West,dubbo,dubbo west
1755,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,1,2/03/2016 0:00,32183.9837,0.336717059,Dubbo West,Narromine South,dubbo west,narromine
1756,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,5,2/03/2016 0:00,3698.574087,0.035999941,Narromine,Narromine South,narromine,narromine
1757,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,1,2/03/2016 0:00,335.023648,0.003141272,Nevertire,Dubbo Tee,nevertire,dubbo
1758,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,Western Australia,5,24/03/2016 0:00,76229.99272,0.736633686,Wagin,Kojonup Tee,wagin,kojonup
1759,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,Western Australia,5,24/03/2016 0:00,4248.419438,0.04312251,Kojonup,Kojonup Tee,kojonup,kojonup
1760,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,Northern Territory,4,30/03/2016 0:00,182738.8349,1.67174142,Katherine,Daly Waters,katherine,daly waters
1761,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,Northern Territory,4,30/03/2016 0:00,59260.62963,0.545556979,Katherine tee,Beswick,katherine,beswick
1767,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,Western Australia,4,21/11/2016 0:00,3996.048234,0.040281338,Three Springs,Three Springs Terminal,three springs,three springs
1768,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,Western Australia,5,10/07/2012 0:00,67906.50499,0.675480818,Three Springs,Golden Grove,three springs,golden grove
1769,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,Western Australia,3,10/07/2012 0:00,6439.499234,0.062841276,Malaga,Belmont (South),malaga,belmont
1770,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,Western Australia,4,21/11/2016 0:00,1535.025102,0.014535273,Pinjar Terminal,Pinjar Terminal,pinjar,pinjar
1771,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,Western Australia,4,21/11/2016 0:00,158556.5005,1.511650317,Kojonup,Albany,kojonup,albany
1772,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,Western Australia,4,21/11/2016 0:00,102996.0509,0.974518895,Kojonup,Mount Barker,kojonup,mount barker
1773,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,Western Australia,4,21/11/2016 0:00,48892.38448,0.461757847,Albany,Mount Barker,albany,mount barker
1775,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,Western Australia,4,22/11/2016 0:00,1007.739164,0.009204069,Narrogin,Narrogin South,narrogin,narrogin
1777,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,Western Australia,3,22/11/2016 0:00,451.473631,0.004358584,Merredin Power Station,Merredin Terminal,merredin,merredin
1778,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Non-Operational,330,Western Australia,4,29/01/2020 0:00,463.331266,0.00448164,Neerabup,Neerabup tee,neerabup,neerabup
1781,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,2,30/11/2016 0:00,92.277589,0.000890363,Redbank,Redbank Power Station,redbank,redbank
1782,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,19/03/2015 0:00,7017.806306,0.068445914,Karabar,Googong Dam,karabar,googong
1783,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,13/12/2016 0:00,3730.267958,0.039786743,Queanbeyan,Fyshwick,queanbeyan,fyshwick
1784,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,12/12/2016 0:00,3666.218317,0.039162607,Queanbeyan,Fyshwick (North),queanbeyan,fyshwick
1785,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,12/12/2016 0:00,40511.66064,0.398537607,Queanbeyan,Captains Flat,queanbeyan,captains flat
1786,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,14/12/2010 0:00,29492.15994,0.301521665,Queanbeyan,Bungendore,queanbeyan,bungendore
1787,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,19/03/2015 0:00,7217.13825,0.072224894,Queanbeyan,Karabar (East),queanbeyan,karabar
1788,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,1,3/07/2015 0:00,5672.755888,0.056329211,Queanbeyan,Karabar,queanbeyan,karabar
1789,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,9/12/2016 0:00,81958.11972,0.814587246,Berremangra,Wallaroo,berremangra,wallaroo
1792,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,15/04/2015 0:00,28733.17809,0.278304145,Bungendore,Woodlawn Bioreactor,bungendore,woodlawn
1794,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,9/12/2016 0:00,16950.61823,0.172760958,Black Range,Tathra,black range,tathra
1796,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,15/10/2010 0:00,20222.73989,0.191851753,Brogo,Cobargo,brogo,cobargo
1797,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,16/10/2015 0:00,16481.57785,0.152670707,Bega,Brogo,bega,brogo
1800,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,12/12/2016 0:00,40766.79481,0.387778934,Steeple Flat,Bombala,steeple flat,bombala
1801,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,3,12/12/2016 0:00,23870.54468,0.258902689,Steeple Flat,Springfield,steeple flat,springfield
1802,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,12/12/2016 0:00,51205.48378,0.537059391,East Jindabyne,Cooma,east jindabyne,cooma
1803,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,12/12/2016 0:00,16648.83125,0.167433929,Jindabyne,East Jindabyne,jindabyne,east jindabyne
1804,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,12/12/2016 0:00,26891.25167,0.283974992,Providence Portal,Cabramurra,providence portal,cabramurra
1805,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,12/12/2016 0:00,9875.812266,0.098513996,Adaminaby,Providence Portal,adaminaby,providence portal
1806,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,12/12/2016 0:00,87323.06173,0.939168053,"Deniliquin ",Barham,deniliquin,barham
1807,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,12/12/2016 0:00,5484.601141,0.05563514,"Deniliquin ",Deniliquin,deniliquin,deniliquin
1808,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,66,New South Wales,4,12/12/2016 0:00,68848.79473,0.659693292,"Deniliquin ",Moama,deniliquin,moama
1817,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,12/12/2016 0:00,15240.14557,0.138706979,Tomerong,Shoalhaven,tomerong,haven
1822,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,13/12/2016 0:00,11004.41994,0.108388553,Spring Hill,Tallawarra,spring hill,warra
1823,Transmission Line,A network of wires and insulators used to connect and transport high voltage electricity from generators to large demand customers and the lower voltage electricity distribution network,Overhead,Operational,132,New South Wales,4,13/12/2016 0:00,4484.986077,0.046523309,Spring Hill,Port Kembla,spring hill,port kembla
